id,classification,code,description,distributed_to,implanted,name,number,quantity_in_commerce,risk_class,slug,country,manufacturer_id,created_at,updated_at,device_type,device_age_years,is_implanted,quantity_in_commerce_log,risk_class_clean,risk_class_encoded,manufacturer_device_count,manufacturer_name,parent_company,previous_event_count,events_last_1_year,events_last_3_years,events_last_5_years,previous_recall_count,previous_high_severity_event_count,days_since_last_event,recent_event_frequency,manufacturer_event_count,manufacturer_recall_count,manufacturer_event_rate,future_event,device_id,temperature,vibration,power_consumption,voltage,operating_hours,error_rate,battery_health,health_score,rolling_temp_mean_5,rolling_vib_mean_5,rolling_power_mean_5,temperature_change_rate,vibration_change_rate,power_change_rate,voltage_variability,telemetry_failure_label,telemetry_anomaly_score,failure_risk_score,risk_level,anomaly_score,maintenance_priority_score,priority_level
2000,,,Bone marrow biopsy kit,,,ARROW Oncontrol system,,0.0,,jpn-arrow-oncontrol-system,JPN,1129,2022-08-04 08:28:36 UTC,2022-08-04 08:28:36 UTC,Other,0.0,0,0.0,Class IIA,2,6,"Teleflex Medical Japan Co., Ltd.",Teleflex Incorporated,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,2000,36.94,0.135,124.0,220.54,1202,0.4,91.8,95.6,36.692,0.1814,125.2,0.17999999999999972,-0.068,-4.909999999999997,0.37868192457505834,0,11.9,51.5,MODERATE,11.9,31.1,MODERATE
2001,,,(1) - (2) anesthetic system,,,(1) Avance Care Station (2) Avance CS 2,,0.0,,jpn-1-avance-care-station-2-avance-cs-2,JPN,1057,2022-08-04 08:28:36 UTC,2022-08-04 08:28:36 UTC,Other,0.0,0,0.0,Class IIA,2,23,"GE Healthcare Japan Co., Ltd.",General Electric Company,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,2001,37.23,0.177,117.9,219.89,2778,0.58,88.9,92.6,37.42,0.1878,115.95,-0.28000000000000114,-0.03,-1.0300000000000011,0.19227584351646707,0,18.7,33.2,MODERATE,18.7,25.5,LOW
2002,,,(1) - (2) single use punch,,,(1) Grampia A (2) New Kachit A,,0.0,,jpn-1-grampia-a-2-new-kachit-a,JPN,1161,2022-08-04 08:28:36 UTC,2022-08-04 08:28:36 UTC,Other,0.0,0,0.0,Class IIA,2,1,"Central Medic Co., Ltd.",,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,2002,36.86,0.185,120.16,221.33,922,0.18,91.1,95.2,37.084,0.1646,121.828,-0.29999999999999716,0.03900000000000001,-0.6599999999999966,0.6163359473533117,0,13.6,73.6,HIGH,13.6,40.3,MODERATE
2003,,,Blood cell counter,,,Multi-item automatic blood cell analyzer XN series,,0.0,,jpn-multi-item-automatic-blood-cell-analyzer-xn-series,JPN,1162,2022-08-04 08:28:36 UTC,2022-08-04 08:28:36 UTC,Diagnostic,0.0,0,0.0,Class IIA,2,6,Sysmex Corporation,Sysmex Corp.,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,2003,49.36,1.902,159.65,227.43,1014,11.74,58.9,0.0,48.208000000000006,1.7733999999999999,157.12,0.6599999999999966,0.10099999999999998,11.939999999999998,5.852140633990269,1,64.3,58.0,MODERATE,64.3,46.8,MODERATE
2004,,,(1) Active equipment for high frequency treatment (2) Cables and switches for electrosurgery equipment,,,(1) Accessories for electrocautery (unsterilized) (2) Bipolar forceps cord,,0.0,,jpn-1-accessories-for-electrocautery-unsterilized-2-bipolar-forceps-cord,JPN,1030,2022-08-04 08:28:36 UTC,2022-08-04 08:28:36 UTC,Surgical,0.0,0,0.0,Class IIA,2,19,"Covidien Japan Co., Ltd.",Medtronic plc,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,2004,37.39,0.091,125.72,220.89,1615,0.86,89.1,93.1,36.897999999999996,0.1736,127.178,0.6400000000000006,-0.092,2.219999999999999,0.46682973341460254,0,57.4,42.4,MODERATE,57.4,38.8,MODERATE
2005,,,(1) - (3) X-ray CT diagnostic apparatus for whole body,,,(1) SOMATOM DEFINITION AS (2) SOMATOM DEFINITION Edge (3) SOMATOM DEFINITION FLASH,,0.0,,jpn-1-somatom-definition-as-2-somatom-definition-edge-3-somatom-definition-flash,JPN,1083,2022-08-04 08:28:36 UTC,2022-08-04 08:28:36 UTC,Other,0.0,0,0.0,Class IIA,2,24,"Siemens Healthcare Co., Ltd.",Siemens Ag,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,2005,48.75,1.904,149.66,215.22,2060,12.07,54.1,0.0,47.738,1.7686,154.594,0.7000000000000028,0.06199999999999983,-0.8400000000000034,4.220659901010723,1,68.5,38.0,MODERATE,68.5,39.8,MODERATE
2006,,,Ligament fixation tool,,,PEEK SUTURETAK,,0.0,,jpn-peek-suturetak,JPN,1163,2022-08-04 08:28:36 UTC,2022-08-04 08:28:36 UTC,Surgical,0.0,0,0.0,Class IIA,2,2,Arthrex Japan LLC,Arthrex Inc.,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,2006,36.03,0.157,123.31,219.72,610,0.28,90.5,97.4,36.024,0.168,118.18200000000002,-0.07000000000000028,-0.032,8.329999999999998,0.5947520491767636,0,7.3,70.6,HIGH,7.3,37.6,MODERATE
2007,,,Anesthesia mask,,,Value mask,,0.0,,jpn-value-mask,JPN,1103,2022-08-04 08:28:36 UTC,2022-08-04 08:28:36 UTC,Other,0.0,0,0.0,Class IIA,2,3,"Acoma Medical Industry Co., Ltd.",Acoma Medical Industry Co. Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,2007,36.58,0.148,115.33,221.0,711,0.38,93.0,96.6,36.748,0.16599999999999998,114.48599999999999,-0.17999999999999972,-0.05400000000000002,1.7999999999999972,0.4638965401897832,0,24.3,68.7,HIGH,24.3,41.1,MODERATE
2008,,,(1) - (4) total knee prosthesis,,,(1) FINE knee prosthesis (PSF - CoC) (2) FINE artificial knee joint (CRF - CoC) (3) FINE artificial knee joint (CRF - TiM) (4) fine artificial knee joint (CRF),,0.0,,jpn-1-fine-knee-prosthesis-psf-coc-2-fine-artificial-knee-joint-crf-coc-3-fine,JPN,1164,2022-08-04 08:28:36 UTC,2022-08-04 08:28:36 UTC,Implantable,0.0,0,0.0,Class IIA,2,2,"Teijin Nakashima Medical Co., Ltd.",Teijin Nakashima Medical Co. Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,2008,35.82,0.131,107.54,218.29,3230,0.32,91.8,98.7,35.928000000000004,0.1464,108.44200000000001,0.18999999999999773,-0.033,-0.75,0.37746523018670747,0,44.9,73.8,HIGH,44.9,48.2,MODERATE
2009,,,Long-term ureteral tube stent,,,MVU percuflex stent,,0.0,,jpn-mvu-percuflex-stent,JPN,1122,2022-08-04 08:28:36 UTC,2022-08-04 08:28:36 UTC,Surgical,0.0,0,0.0,Class III,4,7,"Boston Scientific Japan Co., Ltd.",Boston Scientific,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,2009,47.29,1.848,169.6,222.6,2222,11.91,55.5,0.0,46.03,1.6334,155.136,0.3399999999999963,0.13200000000000012,9.680000000000007,5.850158117521248,1,63.6,31.3,MODERATE,63.6,43.4,MODERATE
2010,,,Accelerator system for stereotactic radiotherapy,,,Cyberknife M6 Series,,0.0,,jpn-cyberknife-m6-series,JPN,1068,2022-08-04 08:28:36 UTC,2022-08-04 08:28:36 UTC,Other,0.0,0,0.0,Class IIA,2,3,"Japan Accuray Co., Ltd.",Accuray Inc.,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,2010,36.43,0.159,118.84,221.92,1406,0.41,89.4,95.6,36.348,0.18180000000000002,119.018,-0.030000000000001137,-0.06,-1.1599999999999966,0.4136786192202268,0,14.1,66.9,HIGH,14.1,37.8,MODERATE
2011,,,(1) - (2) X-ray fluoroscopic diagnostic apparatus for stationary type analog circulator,,,(1) Advantx L / UC system (2) Cardiovascular X-ray device Advantx LC series,,0.0,,jpn-1-advantx-l-uc-system-2-cardiovascular-x-ray-device-advantx-lc-series,JPN,1057,2022-08-04 08:28:36 UTC,2022-08-04 08:28:36 UTC,Imaging,0.0,0,0.0,Class IIA,2,23,"GE Healthcare Japan Co., Ltd.",General Electric Company,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,2011,36.05,0.15,127.34,220.52,2857,0.91,93.0,96.3,36.260000000000005,0.1692,126.59200000000001,-0.45000000000000284,-0.05300000000000002,0.04000000000000625,0.40457384987172174,0,45.1,43.5,MODERATE,45.1,36.2,MODERATE
2012,,,Single use surgical stapler,,,Visistat Skin Stapler,,0.0,,jpn-visistat-skin-stapler,JPN,1129,2022-08-04 08:28:36 UTC,2022-08-04 08:28:36 UTC,Other,0.0,0,0.0,Class IIA,2,6,"Teleflex Medical Japan Co., Ltd.",Teleflex Incorporated,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,2012,36.43,0.197,121.69,219.96,1207,0.49,89.8,94.7,36.374,0.20800000000000002,120.61999999999998,-0.2700000000000031,0.031,2.019999999999996,0.5680933021961087,0,5.6,44.3,MODERATE,5.6,26.6,LOW
2013,,,Potential / thermal combination home medical equipment,,,Curey,,0.0,,jpn-curey,JPN,1165,2022-08-04 08:28:36 UTC,2022-08-04 08:28:36 UTC,Other,0.0,0,0.0,Class IIA,2,1,NEC Corporation,Nec Corporation,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,2013,48.46,1.891,177.18,223.15,488,11.65,58.0,0.0,47.47,1.7416,165.132,0.490000000000002,0.050000000000000044,2.460000000000008,3.1585075589588283,1,43.5,77.6,HIGH,43.5,49.4,MODERATE
2014,,,(1) - (3) surgical illuminator,,,(1) Surgical shadowless Deneb LED 7000 - 2 (2) Surgical shadowless Deneb LED 7000 MC (3) Surgical shadowless Deneb LED 5000 MC,,0.0,,jpn-1-surgical-shadowless-deneb-led-7000-2-2-surgical-shadowless-deneb-led-7000-mc-3-surgical,JPN,1166,2022-08-04 08:28:36 UTC,2022-08-04 08:28:36 UTC,Surgical,0.0,0,0.0,Class IIA,2,1,"Miwa Medical Electric Co., Ltd.",Air Water Inc.,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,2014,47.37,1.947,175.44,218.25,2521,11.54,56.2,0.0,46.403999999999996,1.7426,158.772,0.5899999999999963,0.16800000000000015,-8.159999999999997,2.961101146533171,1,63.6,76.6,HIGH,63.6,54.0,MODERATE
2015,,,Ultrasonic therapy machine,,,"""Accessory of Futowa sonic (F-Sonic)"" AC adapter",,0.0,,jpn-accessory-of-futowa-sonic-f-sonic-ac-adapter,JPN,1167,2022-08-04 08:28:36 UTC,2022-08-04 08:28:36 UTC,Other,0.0,0,0.0,Class IIA,2,1,"Rabbi Co., Ltd.",,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,2015,36.89,0.138,124.11,221.22,2872,0.46,90.9,95.2,37.038,0.13540000000000002,123.152,-0.1700000000000017,-0.033999999999999975,0.3499999999999943,0.42868403282605794,0,18.1,75.6,HIGH,18.1,42.3,MODERATE
2016,,,Radiation treatment planning program,,,Radiation treatment planning program Monaco,,0.0,,jpn-radiation-treatment-planning-program-monaco,JPN,1061,2022-08-04 08:28:36 UTC,2022-08-04 08:28:36 UTC,Other,0.0,0,0.0,Class IIA,2,7,Elekta Corporation,Elekta AB,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,2016,36.68,0.213,131.54,219.72,989,0.61,89.9,93.4,36.57000000000001,0.1872,129.862,0.18999999999999773,0.034,1.2299999999999898,0.2301521236053114,0,35.4,38.2,MODERATE,35.4,31.6,MODERATE
2017,,,Polyglycolic acid suture,,,Safir,,0.0,,jpn-safir,JPN,1137,2022-08-04 08:28:36 UTC,2022-08-04 08:28:36 UTC,Other,0.0,0,0.0,Class IIA,2,4,"B · Braun A scrap Co., Ltd.",Ludwig G. Braun Gmbh U. Co. Kg,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,2017,37.27,0.158,124.43,218.98,517,0.27,88.8,93.8,37.174,0.15899999999999997,125.194,0.3200000000000003,0.021999999999999992,-1.029999999999987,0.529169160099086,0,23.7,63.3,HIGH,23.7,38.7,MODERATE
2018,,,Single-use bone surgical instrument,,,Internal fixation instrument instrument (sterilized),,0.0,,jpn-internal-fixation-instrument-instrument-sterilized,JPN,1054,2022-08-04 08:28:36 UTC,2022-08-04 08:28:36 UTC,Other,0.0,0,0.0,Class IIA,2,11,"Japan Stryker Co., Ltd.",Stryker,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,2018,37.07,0.175,119.36,219.33,1669,0.17,91.2,94.9,36.596000000000004,0.1778,117.52000000000001,0.6099999999999994,0.004999999999999977,0.45999999999999375,0.3697701989071983,0,8.1,44.2,MODERATE,8.1,27.2,LOW
2019,,,(1) Positron CT combination type SPECT device (2) Positron CT combination type SPECT device (3) Detector for nuclear medicine diagnosis Rotary type SPECT device,,,(1) Digital gamma camera E. CAM (2) Digital gamma camera E. CAM Signature (3) Digital gamma camera Symbia E,,0.0,,jpn-1-digital-gamma-camera-e-cam-2-digital-gamma-camera-e-cam-signature-3-digital-gamma,JPN,1042,2022-08-04 08:28:36 UTC,2022-08-04 08:28:36 UTC,Other,0.0,0,0.0,Class IIA,2,20,"Toshiba Medical Systems Co., Ltd.",Canon Inc,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,2019,47.95,1.839,157.49,215.79,1025,11.62,56.9,0.0,46.61,1.6642,156.63799999999998,0.30000000000000426,0.08400000000000007,-5.72999999999999,1.7533025979562589,1,50.3,42.0,MODERATE,50.3,36.9,MODERATE
2020,,,Hard resin for dental crown,,,Miyavi dentin A 3.5,,0.0,,jpn-miyavi-dentin-a-3-5,JPN,1168,2022-08-04 08:28:36 UTC,2022-08-04 08:28:36 UTC,Other,0.0,0,0.0,Class IIA,2,1,"Dentspace Sankin Co., Ltd.",,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,2020,36.25,0.161,125.91,221.48,2652,0.25,91.7,97.2,36.39,0.17200000000000001,123.718,-0.36999999999999744,-0.057999999999999996,0.7299999999999898,0.3778624088210154,0,24.1,70.0,HIGH,24.1,41.5,MODERATE
2021,,,Blood circuit for versatile blood treatment,,,Blood circuit,,0.0,,jpn-blood-circuit,JPN,1169,2022-08-04 08:28:36 UTC,2022-08-04 08:28:36 UTC,Diagnostic,0.0,0,0.0,Class IIA,2,2,"Forte Grow Medical Co., Ltd.",Forte Grow Medical Co. Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,2021,48.43,1.926,175.12,221.16,478,11.8,54.6,0.0,47.506,1.7625999999999997,163.274,0.7000000000000028,0.08899999999999997,8.060000000000002,3.352096358996848,1,53.3,79.4,HIGH,53.3,52.6,MODERATE
2022,,,Automatic peritoneal perfusion device circuit and related tool set,,,Sleep safe accessories,,0.0,,jpn-sleep-safe-accessories,JPN,1170,2022-08-04 08:28:36 UTC,2022-08-04 08:28:36 UTC,Other,0.0,0,0.0,Class IIA,2,1,"Fresenius Medical Care Japan Co., Ltd.",Fresenius SE & Co KGaA,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,2022,36.24,0.145,115.16,220.36,533,0.32,90.5,96.9,36.32,0.1712,115.612,-0.1699999999999946,0.005999999999999978,2.3900000000000006,0.27889065957842085,0,5.7,76.6,HIGH,5.7,39.6,MODERATE
2023,,,Nitric oxide gas analyzer,,,Exhalation NO monitor NObreath,,0.0,,jpn-exhalation-no-monitor-nobreath,JPN,1171,2022-08-04 08:28:36 UTC,2022-08-04 08:28:36 UTC,Monitoring,0.0,0,0.0,Class IIB,3,2,"Harada Sangyo Co., Ltd.",,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,2023,36.5,0.201,132.18,218.91,1127,1.08,88.9,92.4,36.858000000000004,0.18660000000000002,129.37000000000003,-0.4099999999999966,0.07700000000000001,2.930000000000007,0.7533923280734964,0,60.1,58.6,MODERATE,60.1,49.7,MODERATE
2024,,,Hip prosthetic acetabular component,,,Pinnacle Porocoat,,0.0,,jpn-pinnacle-porocoat,JPN,1046,2022-08-04 08:28:36 UTC,2022-08-04 08:28:36 UTC,Other,0.0,0,0.0,Class IIA,2,35,"Johnson & Johnson Co., Ltd.",Johnson & Johnson,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,2024,36.08,0.188,118.42,219.83,1898,0.35,91.8,96.7,36.572,0.1648,117.304,-0.7800000000000011,0.01899999999999999,-1.039999999999992,0.6014981296729088,0,4.3,67.5,HIGH,4.3,35.6,MODERATE
2025,,,Electric dental implant surgical instrument (70965002),,,Straumann Surgical Instrument,,0.0,,jpn-straumann-surgical-instrument,JPN,1172,2022-08-04 08:28:36 UTC,2022-08-04 08:28:36 UTC,Surgical,0.0,0,0.0,Class IIA,2,1,"Straumann Japan Co., Ltd.",Straumann Holding AG,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,2025,37.13,0.135,118.39,218.0,2131,1.04,92.9,93.5,36.898,0.17560000000000003,115.22999999999999,0.09000000000000341,-0.027999999999999997,3.5799999999999983,0.4966185659033915,0,61.3,66.4,HIGH,61.3,49.4,MODERATE
2026,,,Wash and disinfector for flexible endoscope,,,Endoscope Washer / Disinfector End Cleanse Neo,,0.0,,jpn-endoscope-washer-disinfector-end-cleanse-neo,JPN,1173,2022-08-04 08:28:36 UTC,2022-08-04 08:28:36 UTC,Surgical,0.0,0,0.0,Class IIA,2,1,Amano Corporation,,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,2026,48.73,1.909,162.46,225.94,2381,12.32,59.5,0.0,47.43,1.7696,157.13400000000001,0.9399999999999977,0.04600000000000004,-8.539999999999992,4.296440387111192,1,73.1,79.1,HIGH,73.1,57.4,MODERATE
2027,,,(1) Ethylene oxide gas sterilizer (2) Ethylene oxide gas sterilizer (3) Ethylene oxide gas sterilizer (4) Ethylene oxide gas sterilizer,,,"(1) Yuyama clave ""YS - A - C44EJ"" (2) Yuyama clave ""YS - A - C 44 E"" (3) Yuyama clave ""YS - A - C 64 EJ"" (4) Yuyama clave ""YS - A - C 64 E""",,0.0,,jpn-1-yuyama-clave-ys-a-c44ej-2-yuyama-clave-ys-a-c-44-e-3-yuyama-clave-ys-a-c,JPN,1174,2022-08-04 08:28:36 UTC,2022-08-04 08:28:36 UTC,Other,0.0,0,0.0,Class IIA,2,2,"Yuyama Seisakusho Co., Ltd.",,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,2027,36.68,0.21,115.05,221.37,1808,0.58,88.8,93.3,36.214,0.1716,114.112,0.36999999999999744,0.087,2.5,0.8679112857890388,0,23.6,70.0,HIGH,23.6,41.4,MODERATE
2028,,,General purpose ultrasound diagnostic imaging equipment,,,Universal ultrasonic diagnostic imaging apparatus Acuson SC 2000,,0.0,,jpn-universal-ultrasonic-diagnostic-imaging-apparatus-acuson-sc-2000,JPN,1083,2022-08-04 08:28:36 UTC,2022-08-04 08:28:36 UTC,Imaging,0.0,0,0.0,Class IIA,2,24,"Siemens Healthcare Co., Ltd.",Siemens Ag,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,2028,37.36,0.154,123.83,220.56,596,0.33,89.4,93.6,37.114,0.187,123.482,0.25,-0.027999999999999997,-1.230000000000004,0.5331791443782656,0,11.7,33.8,MODERATE,11.7,23.9,LOW
2029,,,Intubation laryngoscope,,,Timesco laryngoscope,,0.0,,jpn-timesco-laryngoscope,JPN,1175,2022-08-04 08:28:36 UTC,2022-08-04 08:28:36 UTC,Other,0.0,0,0.0,Class IIA,2,3,"Smith Medical Japan Co., Ltd.",Smiths Group Plc,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,2029,36.68,0.138,117.78,220.24,1988,0.19,88.3,95.7,36.504,0.1452,118.708,0.3299999999999983,-0.002999999999999975,-1.8700000000000045,0.6420825492100181,0,14.6,65.6,HIGH,14.6,37.4,MODERATE
2030,,,X-ray CT diagnostic system for whole body,,,IQon Spectral CT,,0.0,,jpn-iqon-spectral-ct,JPN,1270,2022-08-04 08:28:36 UTC,2022-08-04 08:28:43 UTC,Imaging,0.0,0,0.0,Class IIA,2,8,Phillips JAPAN CORPORATION,Philips,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,2030,48.12,1.935,167.53,217.01,1994,12.17,56.2,0.0,47.396,1.7612,166.94,0.21999999999999886,0.11699999999999999,4.319999999999993,4.288539378389778,1,52.2,50.3,MODERATE,52.2,40.7,MODERATE
2031,,,Implantable lesion identification marker,,,Micro mark,,0.0,,jpn-micro-mark,JPN,1119,2022-08-04 08:28:36 UTC,2022-08-04 08:28:36 UTC,Other,0.0,0,0.0,Class IIA,2,2,"Devicor Medical Japan Co., Ltd.",Danaher Corporation,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,2031,48.59,1.901,151.48,220.42,1937,12.11,56.1,0.0,47.066,1.7216,153.75799999999998,0.720000000000006,0.1060000000000001,-2.1100000000000136,6.482054458271729,1,45.9,65.8,HIGH,45.9,45.3,MODERATE
2032,,,(1) Stationary digital general-purpose X-ray diagnostic device (2) Stationary digital general purpose X-ray diagnostic device (3) Stationary diagnostic X-ray generator (3) Stationary diagnostic X-,,,Diagnostic X-ray device RADspeed Pro Diagnostic X-ray device DR-XD 101 Diagnostic X-ray high voltage device UD 150 B-40 Diagnostic X-ray high voltage device UD 150 L-40,,0.0,,jpn-diagnostic-x-ray-device-radspeed-pro-diagnostic-x-ray-device-dr-xd-101-diagnostic-x-ray-high,JPN,1038,2022-08-04 08:28:36 UTC,2022-08-04 08:28:36 UTC,Imaging,0.0,0,0.0,Class IIA,2,8,Shimadzu Corporation,Shimadzu Corp.,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,2032,36.54,0.204,134.02,219.96,3292,0.55,90.2,94.2,36.440000000000005,0.1886,132.82800000000003,0.0899999999999963,0.010999999999999982,1.3000000000000114,0.5781003373118103,0,35.6,47.4,MODERATE,35.6,35.4,MODERATE
2033,,,Universal blood gas analyzer,,,GASTAT-navi sensor card,,0.0,,jpn-gastat-navi-sensor-card,JPN,1176,2022-08-04 08:28:36 UTC,2022-08-04 08:28:36 UTC,Other,0.0,0,0.0,Class IIA,2,1,Techno Medica Inc.,Techno Medica Co. Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,2033,35.69,0.191,115.67,218.41,3161,0.74,89.3,95.8,35.446,0.2012,115.62,0.28999999999999915,0.038000000000000006,-2.5999999999999943,0.8073227359612523,0,28.3,79.0,HIGH,28.3,46.2,MODERATE
2034,,,(1) - (2) Instrument for bone surgery (orthopedic bar),,,(1) Matrix Mandible System Surgical Instrument (2) (Former Matrix Mandible Surgical Instrument Set),,0.0,,jpn-1-matrix-mandible-system-surgical-instrument-2-former-matrix-mandible-surgical-instrument-set,JPN,1046,2022-08-04 08:28:36 UTC,2022-08-04 08:28:36 UTC,Surgical,0.0,0,0.0,Class IIA,2,35,"Johnson & Johnson Co., Ltd.",Johnson & Johnson,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,2034,36.63,0.165,116.58,219.86,1669,0.64,91.2,94.8,36.967999999999996,0.19360000000000002,116.578,-0.5999999999999943,-0.07299999999999998,-0.480000000000004,0.24365959862059233,0,13.3,61.0,HIGH,13.3,35.2,MODERATE
2035,,,Ultrasound probe puncture needle kit,,,Civco Accusite Needle Guide,,0.0,,jpn-civco-accusite-needle-guide,JPN,1034,2022-08-04 08:28:37 UTC,2022-08-04 08:28:37 UTC,Other,0.0,0,0.0,Class IIA,2,7,"Century Medical Co., Ltd.",Itochu Corporation,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,2035,36.51,0.141,113.86,222.05,705,0.42,88.2,95.4,36.774,0.18280000000000002,111.57000000000001,-0.10999999999999943,-0.101,1.6500000000000057,0.6096146323703253,0,34.6,30.9,MODERATE,34.6,28.5,LOW
2036,,,"(1), (4), (6) ultrasonic diagnostic probe for rectum (2) handheld external ultrasonic diagnostic probe (3) (8) deletion (5), (7) for nonvascular surgery Ultrasonic diagnostic probe",,,(1) BK rectal transducer (2) handheld external transducer (3) removed (4) rectal transducer 8848 type (5) BK transducer for nonvascular surgery (6) transducer type 8838 ) Surgical transducer 8816 type (8) remove,,0.0,,jpn-1-bk-rectal-transducer-2-handheld-external-transducer-3-removed-4-rectal-transducer-8848,JPN,1177,2022-08-04 08:28:37 UTC,2022-08-04 08:28:37 UTC,Surgical,0.0,0,0.0,Class IIA,2,1,"ICST Co., Ltd.",,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,2036,35.84,0.189,111.45,219.42,2101,0.47,90.3,96.6,36.146,0.1934,112.05199999999999,-0.19999999999999574,-0.017999999999999988,0.29999999999999716,0.42874234687046164,0,19.3,74.6,HIGH,19.3,42.2,MODERATE
2037,,,Instrument for bone surgery,,,PFNA surgical instrument set,,0.0,,jpn-pfna-surgical-instrument-set,JPN,1046,2022-08-04 08:28:37 UTC,2022-08-04 08:28:37 UTC,Surgical,0.0,0,0.0,Class IIA,2,35,"Johnson & Johnson Co., Ltd.",Johnson & Johnson,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,2037,48.31,1.853,165.73,217.21,1121,12.02,57.2,0.0,47.056,1.7033999999999998,158.18,0.7600000000000051,0.03200000000000003,10.409999999999997,5.150449494947008,1,44.5,64.0,HIGH,44.5,44.2,MODERATE
2038,,,(1) - (2) Washing sterilizer for flexible endoscope,,,(1) Endoscope washing and disinfecting apparatus OER - 3 (2) Endoscope washing and disinfecting apparatus OER - 4,,0.0,,jpn-1-endoscope-washing-and-disinfecting-apparatus-oer-3-2-endoscope-washing-and-disinfecting,JPN,1060,2022-08-04 08:28:37 UTC,2022-08-04 08:28:37 UTC,Surgical,0.0,0,0.0,Class IIA,2,9,"Olympus Medical Systems Co., Ltd.",Olympus Corporation,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,2038,36.84,0.172,117.04,220.97,1632,0.27,89.6,94.8,36.94200000000001,0.16419999999999998,117.492,-0.10999999999999943,0.00799999999999998,0.04000000000000625,0.3199531215661859,0,7.0,39.3,MODERATE,7.0,25.0,LOW
